ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
CHILL-LEM13-2C-3U 35-36 cm,U3,L2,180,,,,0.25557,0.1072,0,0.1072,6.6645446967,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 36-37 cm,U3,L2,181,228.4903,1.5871,0.6521,0.28431,0.61901,0.2677,0.35131,13.6454811652,0.2517,1.6283737253,,,,,,,,,,,
CHILL-LEM13-2C-3U 37-38 cm,U3,L2,182,,,,0.88458,2.2246,0.052248,2.172352,18.0297919744,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 38-39 cm,U3,D3,183,196.1499,1.3305,0.8095,1.1365,3.8885,0,3.8885,21.0919832766,,,1.9959865991,-27.9307708606,,,,,,,,,
CHILL-LEM13-2C-3U 39-40 cm,U3,D5,184,,,,1.2268,4.2167,0.4561,3.7606,20.6635004771,0.512,8.5690755208,,,0,Present,Present,Present,Present,0.252,1.285,4.78,48.48
CHILL-LEM13-2C-3U 40-41 cm,U3,D3,185,137.8481,1.2593,0.8532,0.90739,3.7506,0.063446,3.687154,21.3878755021,,,1.8010888812,-28.1560909761,,,,,,,,,
CHILL-LEM13-2C-3U 41-42 cm,U3,D4,186,,,,1.3583,3.5766,0.33283,3.24377,20.9060088957,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 42-43 cm,U3,D4,187,92.8612,1.2667,0.8487,1.6271,3.7777,0.38739,3.39031,20.8580897156,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 43-44 cm,U3,D4,188,,,,1.5671,3.5655,0,3.5655,21.117009232,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 44-45 cm,U3,D4,189,68.2361,1.3138,0.8198,1.1286,3.2313,0.0014482,3.2298518,20.6807483493,0.373,10.1023067918,,,0,0.186,Present,Present,Present,Present,0.385,3.824,38.58
CHILL-LEM13-2C-3U 45-46 cm,U3,D4,190,,,,0.91999,2.7132,0.033644,2.679556,21.2103694505,,,1.42855625,-27.3632661166,,,,,,,,,
CHILL-LEM13-2C-3U 46-47 cm,U3,D4,191,60.3193,1.3156,0.8187,1.0392,2.444,0,2.444,20.6163832642,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 47-48 cm,U3,D4,192,,,,0.8283,2.5994,0.066709,2.532691,21.6876483071,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 48-49 cm,U3,D4,193,64.2008,1.2358,0.8676,0.99494,2.9435,0,2.9435,20.2950674197,0.63703,5.3907717585,,,,,,,,,,,
CHILL-LEM13-2C-3U 49-50 cm,U3,D4,194,,,,0.87107,3.1502,0.040499,3.109701,20.698927171,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 50-51 cm,U3,D4,195,62.9825,1.3502,0.7975,1.0264,2.4932,0.20606,2.28714,19.5556434,0.319,8.3646708464,1.2957200191,-27.0871750196,Present,0.158,0,Present,0.144,0.274,1.353,5.974,56.05
CHILL-LEM13-2C-3U 51-52 cm,U3,D4,196,,,,1.1902,2.1425,0,2.1425,20.8959857717,0.26,9.6137820513,,,0,0.043,0.131,Present,0.286,0.223,1.184,4.122,48.67
